Alonso Cano;Gregorio Maranon;4;7
Gregorio Maranon;Nuevos Ministerios;2;10
Gregorio Maranon;Alonso Martinez;3;10
Gregorio Maranon;Avenida de America;5;7
Avenida de America;Cruz del Rayo;2;9
Avenida de America;Republica Argentina;3;6
Avenida de America;Diego de Leon;3;6
Nuevos Ministerios;Santiago Bernabeu;3;10
Nuevos Ministerios;Republica Argentina;4;6
Nuevos Ministerios;Colombia;6;8
Nuevos Ministerios;Cuatro Caminos;7;6
Alonso Martinez;Ruben Dario;4;5
Alonso Martinez;Bilbao;5;4
Cruz del Rayo;Concha Espina;2;9
Diego de Leon;Nunez de Balboa;3;5
Santiago Bernabeu;Cuzco;4;10
Cuatro Caminos;Rios Rosas;2;1
Colombia;Concha Espina;3;9
Colombia;Pio XII;4;9
Ruben Dario;Nunez de Balboa;3;5
Bilbao;Iglesia;2;1
Cuzco;Plaza de Castilla;2;10
Rios Rosas;Iglesia;3;1
Pio XII;Duque de Pastrana;5;9
Plaza de Castilla;Duque de Pastrana;3;9
